,open,high,low,close,volume
2006-09-08,1.8759,1.8763,1.8627,1.8652,0
2006-09-11,1.865,1.8705,1.8604,1.8646,0
2006-09-12,1.8644,1.8771,1.8641,1.8738,0
2006-09-13,1.8742,1.8778,1.871,1.8774,0
2006-09-14,1.8774,1.8917,1.8757,1.8864,0
2006-09-15,1.8858,1.888,1.8756,1.8804,0
2006-09-18,1.8791,1.8839,1.8735,1.8807,0
2006-09-19,1.8807,1.8886,1.8771,1.8807,0
2006-09-20,1.8811,1.8928,1.8803,1.8877,0
2006-09-21,1.8872,1.9032,1.8863,1.9022,0
2006-09-22,1.9023,1.9063,1.8993,1.9,0
2006-09-25,1.9005,1.9072,1.8982,1.9001,0
2006-09-26,1.9001,1.9027,1.893,1.8941,0
2006-09-27,1.8941,1.8959,1.8854,1.8889,0
2006-09-28,1.889,1.8915,1.8723,1.8756,0
2006-09-29,1.8753,1.8779,1.8634,1.8723,0
2006-10-02,1.8747,1.8876,1.8676,1.8864,0
2006-10-03,1.8866,1.8901,1.8855,1.8876,0
2006-10-04,1.8875,1.8883,1.878,1.8865,0
2006-10-05,1.8866,1.8868,1.875,1.8786,0
2006-10-06,1.8787,1.8873,1.8674,1.8705,0
2006-10-09,1.8689,1.8711,1.8635,1.8667,0
2006-10-10,1.8667,1.8701,1.8526,1.8539,0
2006-10-11,1.8539,1.8587,1.8517,1.8542,0
2006-10-12,1.8544,1.8612,1.8536,1.8591,0
2006-10-13,1.8589,1.8636,1.8533,1.8554,0
2006-10-16,1.8549,1.8646,1.8523,1.8619,0
2006-10-17,1.862,1.8736,1.8608,1.8716,0
2006-10-18,1.8715,1.8738,1.8662,1.8675,0
2006-10-19,1.8676,1.8799,1.8664,1.8773,0
2006-10-20,1.8773,1.8858,1.8755,1.8832,0
2006-10-23,1.8829,1.883,1.8686,1.8727,0
2006-10-24,1.8728,1.8768,1.8674,1.8723,0
2006-10-25,1.8725,1.8798,1.872,1.8778,0
2006-10-26,1.8782,1.8925,1.8778,1.8897,0
2006-10-27,1.8898,1.9001,1.8871,1.8981,0
2006-10-30,1.8957,1.9042,1.8953,1.9012,0
2006-10-31,1.9011,1.9097,1.8959,1.9073,0
2006-11-01,1.9073,1.9136,1.9055,1.9086,0
2006-11-02,1.9085,1.9105,1.9033,1.9084,0
2006-11-03,1.9084,1.9113,1.8975,1.9007,0
2006-11-06,1.9018,1.9028,1.8948,1.8976,0
2006-11-07,1.8975,1.9122,1.8969,1.9058,0
2006-11-08,1.9059,1.9095,1.9007,1.9054,0
2006-11-09,1.9053,1.9084,1.8974,1.9051,0
2006-11-10,1.905,1.9178,1.905,1.9107,0
2006-11-13,1.9106,1.9152,1.8997,1.9011,0
2006-11-14,1.901,1.9049,1.8924,1.8952,0
2006-11-15,1.8954,1.8969,1.8837,1.8891,0
2006-11-16,1.8887,1.8931,1.8852,1.888,0
2006-11-17,1.8881,1.8966,1.8836,1.8951,0
2006-11-20,1.895,1.8987,1.8931,1.8976,0
2006-11-21,1.8976,1.9003,1.8961,1.8987,0
2006-11-22,1.8989,1.9166,1.8985,1.9146,0
2006-11-23,1.9144,1.9168,1.9129,1.9156,0
2006-11-24,1.9154,1.9349,1.9145,1.932,0
2006-11-27,1.9388,1.9457,1.9307,1.9376,0
2006-11-28,1.938,1.9533,1.9367,1.9516,0
2006-11-29,1.9515,1.9544,1.9433,1.9463,0
2006-11-30,1.9464,1.9698,1.9447,1.9661,0
2006-12-01,1.966,1.9847,1.9636,1.9808,0
2006-12-04,1.9766,1.9837,1.9725,1.9813,0
2006-12-05,1.981,1.982,1.9678,1.9731,0
2006-12-06,1.973,1.9738,1.9618,1.9661,0
2006-12-07,1.9661,1.971,1.9611,1.9631,0
2006-12-08,1.9631,1.9727,1.9513,1.9546,0
2006-12-11,1.9518,1.9594,1.9466,1.958,0
2006-12-12,1.9576,1.9714,1.9575,1.9711,0
2006-12-13,1.9711,1.9727,1.9607,1.9664,0
2006-12-14,1.9662,1.9711,1.9579,1.9602,0
2006-12-15,1.9605,1.9663,1.9498,1.9519,0
2006-12-18,1.9526,1.9579,1.9433,1.9469,0
2006-12-19,1.9472,1.9701,1.9465,1.97,0
2006-12-20,1.9697,1.9748,1.9618,1.9645,0
2006-12-21,1.9647,1.9697,1.9558,1.9611,0
2006-12-22,1.9612,1.968,1.956,1.958,0
2006-12-25,1.958,1.9756,1.9555,1.9752,0
2006-12-26,1.9677,1.9677,1.9515,1.9536,0
